******************************************
Nodal r-coordinates
21 1
-1.000000000000000 
-0.765055323929465 
-0.285231516480645 
0.285231516480645 
0.765055323929465 
1.000000000000000 
-1.000000000000000 
-0.684472514501909 
-0.171245477332074 
0.368945029003817 
0.765055323929465 
-1.000000000000000 
-0.657509045335851 
-0.171245477332074 
0.285231516480645 
-1.000000000000000 
-0.684472514501909 
-0.285231516480645 
-1.000000000000000 
-0.765055323929465 
-1.000000000000000 
******************************************
Nodal s-coordinates
21 1
-1.000000000000000 
-1.000000000000000 
-1.000000000000000 
-1.000000000000000 
-1.000000000000000 
-1.000000000000000 
-0.765055323929465 
-0.684472514501909 
-0.657509045335851 
-0.684472514501909 
-0.765055323929465 
-0.285231516480645 
-0.171245477332075 
-0.171245477332074 
-0.285231516480645 
0.285231516480645 
0.368945029003817 
0.285231516480645 
0.765055323929465 
0.765055323929465 
1.000000000000000 
******************************************
Nodal Dr differentiation matrix
21 21
-7.500000000000004 10.141415936319667 -4.036187270305339 2.244684648176163 -1.349913314190485 0.499999999999999 0.000000000000000 -0.000000000000000 0.000000000000001 -0.000000000000000 -0.000000000000000 -0.000000000000000 -0.000000000000000 0.000000000000000 0.000000000000000 -0.000000000000000 0.000000000000000 -0.000000000000000 -0.000000000000000 0.000000000000000 0.000000000000000 
-1.786364948339099 0.000000000000007 2.523426777429451 -1.152828158535928 0.653547507429800 -0.237781177984231 -0.000000000000000 0.000000000000000 -0.000000000000000 0.000000000000000 -0.000000000000000 0.000000000000000 -0.000000000000000 -0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 -0.000000000000000 -0.000000000000000 -0.000000000000000 0.000000000000000 
0.484951047853570 -1.721256952830233 -0.000000000000001 1.752961966367867 -0.786356672223241 0.269700610832039 -0.000000000000000 0.000000000000000 0.000000000000000 -0.000000000000000 0.000000000000000 -0.000000000000000 -0.000000000000000 0.000000000000000 -0.000000000000000 0.000000000000000 -0.000000000000000 0.000000000000000 -0.000000000000000 0.000000000000000 -0.000000000000000 
-0.269700610832039 0.786356672223240 -1.752961966367864 -0.000000000000002 1.721256952830234 -0.484951047853569 0.000000000000000 0.000000000000000 -0.000000000000000 0.000000000000000 -0.000000000000000 -0.000000000000000 0.000000000000000 -0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 -0.000000000000000 -0.000000000000000 0.000000000000000 0.000000000000000 
0.237781177984232 -0.653547507429800 1.152828158535927 -2.523426777429455 0.000000000000003 1.786364948339093 0.000000000000000 -0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 -0.000000000000000 -0.000000000000000 -0.000000000000000 0.000000000000000 0.000000000000000 -0.000000000000000 -0.000000000000000 
-0.500000000000001 1.349913314190487 -2.244684648176166 4.036187270305350 -10.141415936319666 7.499999999999996 -0.000000000000000 -0.000000000000000 0.000000000000002 -0.000000000000003 0.000000000000001 -0.000000000000001 -0.000000000000002 0.000000000000002 0.000000000000001 -0.000000000000000 -0.000000000000001 0.000000000000001 0.000000000000000 -0.000000000000000 -0.000000000000000 
-1.311934719335081 3.355243081235114 -2.819569052294495 2.316331054988151 -1.784952642822899 0.768318988200815 -5.023579634285155 7.271485913914847 -3.046481579337688 1.372747030268376 -0.387969240416751 -0.601443838017426 -0.640823442423887 0.363890592503809 -0.149647079900786 0.408348966369892 0.134707653788711 -0.035019664736755 -0.261539666759231 -0.031134269144593 0.103021548205031 
0.451338221757555 -0.776367156828547 0.952341855566686 -0.862589961996565 0.722585148731663 -0.330250139023212 -1.169854554724855 -0.366307226506317 2.329296246521734 -0.906531319323031 0.252734601117080 -0.275680427006077 -0.116266218648888 -0.116266218648888 0.071983207184288 0.136986315638112 0.092632900039467 -0.006151767586333 -0.103257063771783 -0.024171841812215 0.043795399320125 
-0.298013673844533 0.606811511783219 -0.669012914671034 0.669012914671035 -0.606811511783219 0.298013673844533 0.364158535630973 -1.552394821479749 -0.000000000000001 1.552394821479750 -0.364158535630972 0.076098760028540 -0.108042471154759 0.108042471154759 -0.076098760028540 -0.006803015521742 -0.000000000000000 0.006803015521742 0.005707215248472 -0.005707215248472 0.000000000000000 
0.330250139023213 -0.722585148731663 0.862589961996565 -0.952341855566687 0.776367156828547 -0.451338221757555 -0.252734601117079 0.906531319323029 -2.329296246521734 0.366307226506318 1.169854554724854 -0.071983207184288 0.116266218648889 0.116266218648888 0.275680427006077 0.006151767586333 -0.092632900039467 -0.136986315638113 0.024171841812215 0.103257063771783 -0.043795399320125 
-0.768318988200818 1.784952642822902 -2.316331054988154 2.819569052294500 -3.355243081235116 1.311934719335079 0.387969240416753 -1.372747030268380 3.046481579337692 -7.271485913914849 5.023579634285157 0.149647079900785 -0.363890592503810 0.640823442423893 0.601443838017424 0.035019664736755 -0.134707653788714 -0.408348966369890 0.031134269144595 0.261539666759231 -0.103021548205032 
0.673349594577883 -0.650573632654654 -0.591768104519415 1.507149908532958 -1.931026917067200 1.088340059885930 -1.817593879075665 5.166138711677035 -4.754530498836684 3.339682287908310 -1.245175615748362 -4.677483620008778 6.091458726585639 -1.937903901445491 0.248568340431798 -0.360342927366618 -0.728126915144635 0.308937003434535 0.321336256213617 0.067913029399272 -0.118347906779476 
-0.353417672598701 0.410757547480233 -0.079648345291516 -0.333777503340484 0.620642835556240 -0.409875745095141 0.720118201981238 -1.478591318885113 1.855822515549026 -1.478591318885113 0.614935620307768 -0.990430384084152 -0.435975562733903 1.963864986703784 -0.326974487818742 -0.321417469413116 0.073803502594636 -0.155747105320056 0.113306690198019 0.046599011849260 -0.055403998754168 
0.409875745095142 -0.620642835556241 0.333777503340485 0.079648345291516 -0.410757547480232 0.353417672598700 -0.614935620307768 1.478591318885112 -1.855822515549025 1.478591318885112 -0.720118201981238 0.326974487818742 -1.963864986703783 0.435975562733902 0.990430384084152 0.155747105320056 -0.073803502594637 0.321417469413117 -0.046599011849259 -0.113306690198019 0.055403998754167 
