******************************************
Nodal r-coordinates
28 1
-1.000000000000000 
-0.830223896278567 
-0.468848793470714 
0.000000000000000 
0.468848793470714 
0.830223896278567 
1.000000000000000 
-1.000000000000000 
-0.769516496193442 
-0.364769256536689 
0.108864652571010 
0.539032992386883 
0.830223896278567 
-1.000000000000000 
-0.744095396034322 
-0.333333333333333 
0.108864652571010 
0.468848793470714 
-1.000000000000000 
-0.744095396034321 
-0.364769256536689 
0.000000000000000 
-1.000000000000000 
-0.769516496193441 
-0.468848793470714 
-1.000000000000000 
-0.830223896278567 
-1.000000000000000 
******************************************
Nodal s-coordinates
28 1
-1.000000000000000 
-1.000000000000000 
-1.000000000000000 
-1.000000000000000 
-1.000000000000000 
-1.000000000000000 
-1.000000000000000 
-0.830223896278567 
-0.769516496193442 
-0.744095396034321 
-0.744095396034321 
-0.769516496193441 
-0.830223896278567 
-0.468848793470714 
-0.364769256536689 
-0.333333333333333 
-0.364769256536689 
-0.468848793470714 
0.000000000000000 
0.108864652571010 
0.108864652571010 
0.000000000000000 
0.468848793470714 
0.539032992386883 
0.468848793470714 
0.830223896278567 
0.830223896278567 
1.000000000000000 
******************************************
Nodal Dr differentiation matrix
28 28
-10.500000000000012 14.201576602919816 -5.668985225545487 3.199999999999982 -2.049964813076730 1.317373435702428 -0.499999999999998 0.000000000000002 -0.000000000000003 0.000000000000002 -0.000000000000004 0.000000000000002 0.000000000000001 0.000000000000001 -0.000000000000001 -0.000000000000000 0.000000000000001 -0.000000000000001 0.000000000000000 -0.000000000000001 0.000000000000001 0.000000000000000 0.000000000000000 0.000000000000000 -0.000000000000000 -0.000000000000000 -0.000000000000000 0.000000000000000 
-2.442926014244298 0.000000000000013 3.455828214294279 -1.598606688098365 0.961339797288712 -0.602247179635786 0.226611870395445 -0.000000000000001 0.000000000000001 -0.000000000000000 0.000000000000001 -0.000000000000000 -0.000000000000000 0.000000000000000 -0.000000000000001 0.000000000000001 -0.000000000000001 0.000000000000000 -0.000000000000000 0.000000000000000 0.000000000000001 -0.000000000000000 -0.000000000000000 0.000000000000000 -0.000000000000000 0.000000000000000 0.000000000000000 -0.000000000000000 
0.625256665515345 -2.215804283169974 0.000000000000000 2.266698087085998 -1.066441904006376 0.616390835517581 -0.226099400942575 -0.000000000000000 0.000000000000001 -0.000000000000002 0.000000000000001 -0.000000000000001 0.000000000000000 0.000000000000000 0.000000000000000 -0.000000000000001 0.000000000000001 -0.000000000000000 0.000000000000000 0.000000000000000 -0.000000000000001 0.000000000000000 -0.000000000000000 0.000000000000000 0.000000000000000 -0.000000000000000 -0.000000000000000 0.000000000000000 
-0.312500000000001 0.907544471268822 -2.006969240588752 -0.000000000000000 2.006969240588754 -0.907544471268822 0.312500000000000 0.000000000000001 -0.000000000000001 0.000000000000000 -0.000000000000000 -0.000000000000000 0.000000000000000 -0.000000000000000 0.000000000000000 -0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 -0.000000000000000 0.000000000000001 -0.000000000000000 0.000000000000000 -0.000000000000000 -0.000000000000000 -0.000000000000000 0.000000000000000 0.000000000000000 
0.226099400942576 -0.616390835517580 1.066441904006373 -2.266698087085996 -0.000000000000004 2.215804283169974 -0.625256665515342 -0.000000000000001 0.000000000000000 0.000000000000000 0.000000000000001 -0.000000000000001 -0.000000000000000 -0.000000000000000 -0.000000000000000 0.000000000000000 -0.000000000000001 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 -0.000000000000000 -0.000000000000000 0.000000000000000 -0.000000000000000 -0.000000000000000 0.000000000000000 -0.000000000000000 
-0.226611870395446 0.602247179635786 -0.961339797288711 1.598606688098365 -3.455828214294287 0.000000000000007 2.442926014244285 -0.000000000000001 0.000000000000000 0.000000000000000 -0.000000000000001 0.000000000000001 -0.000000000000000 0.000000000000001 -0.000000000000001 0.000000000000000 0.000000000000001 -0.000000000000000 0.000000000000000 -0.000000000000000 -0.000000000000001 0.000000000000001 0.000000000000000 -0.000000000000000 0.000000000000000 0.000000000000000 -0.000000000000000 0.000000000000000 
0.500000000000000 -1.317373435702434 2.049964813076735 -3.199999999999993 5.668985225545511 -14.201576602919816 10.499999999999996 0.000000000000000 -0.000000000000002 0.000000000000002 0.000000000000000 -0.000000000000001 0.000000000000001 -0.000000000000000 -0.000000000000001 0.000000000000001 0.000000000000000 0.000000000000001 -0.000000000000001 -0.000000000000000 0.000000000000002 -0.000000000000001 0.000000000000001 -0.000000000000000 -0.000000000000001 0.000000000000000 -0.000000000000000 -0.000000000000000 
-1.655262361973601 4.384712827957402 -3.690760330301410 3.117477922832151 -2.589139777647822 1.985656364247197 -0.843977350015452 -7.125074416831680 10.336634829876045 -4.496281557246644 2.344788531765865 -1.167291801379799 0.344249715708743 -0.826224058090410 -0.945922428050147 0.495110484073913 -0.275599541876779 0.130765183851797 0.571901709528537 0.268226406035680 -0.098694620714868 0.019429634205657 -0.401045374042671 -0.100159061542284 0.028576131687599 0.275218418258493 0.020410898945008 -0.107726379260520 
0.551700056226397 -0.920104053474742 1.176961681655651 -1.098244520847073 0.985063742748063 -0.800078707814438 0.354779664141682 -1.554401666328817 -0.515149963726365 3.209748551194646 -1.432336019241391 0.695639408783118 -0.207482380848015 -0.369212842399968 -0.192205061266648 -0.120629762401218 0.099351953210430 -0.061781544814988 0.189652765973480 0.135242401607970 0.000896512038105 0.000913360226995 -0.145634649909381 -0.068565543896908 0.000439599881937 0.109411985011792 0.023713272259427 -0.047688237989741 
-0.320957983767706 0.651774159797322 -0.718576448848939 0.771099559395820 -0.723259497190548 0.614489372336815 -0.283998299266591 0.419852151379714 -1.800934241108813 -0.100421207276013 2.108995815462386 -0.827141441911216 0.234908573833410 0.093689379135648 -0.156438200697468 0.008832124526322 -0.072223232686105 0.059728053727604 -0.008063985275378 0.065106974986214 0.026301752574136 -0.010235289320420 -0.009989363497566 -0.047245712135198 0.001414795222067 0.020186500404441 0.014558363128955 -0.011452672928893 
0.283998299266591 -0.614489372336816 0.723259497190548 -0.771099559395821 0.718576448848940 -0.651774159797322 0.320957983767707 -0.234908573833411 0.827141441911217 -2.108995815462389 0.100421207276016 1.800934241108812 -0.419852151379714 -0.059728053727604 0.072223232686105 -0.008832124526320 0.156438200697466 -0.093689379135649 0.010235289320419 -0.026301752574137 -0.065106974986214 0.008063985275379 -0.001414795222066 0.047245712135198 0.009989363497565 -0.014558363128955 -0.020186500404441 0.011452672928893 
